cod_depto;Departamento;Año;Area;Variable;ipm_directo;vardir;LATITUD;LONGITUD
5;ANTIOQUIA;2024;Total;IPM;10,9;1;6,702032125;-75,50455704
8;ATLANTICO;2024;Total;IPM;9,5;1,21;10,67700953;-74,96521949
11;BOGOTA D.C.;2024;Total;IPM;5,4;1;4,316107698;-74,1810727
13;BOLIVAR;2024;Total;IPM;15,6;1,96;8,079796863;-74,23514814
15;BOYACA;2024;Total;IPM;6,9;0,49;5,891672889;-72,62788054
17;CALDAS;2024;Total;IPM;9,2;0,81;5,280139978;-75,27498304
18;CAQUETA;2024;Total;IPM;13,9;1,96;0,798556195;-73,95946756
19;CAUCA;2024;Total;IPM;14;1,21;2,396833887;-76,82423283
20;CESAR;2024;Total;IPM;13,4;1,44;9,53665993;-73,51783154
23;CORDOBA;2024;Total;IPM;25,7;1,44;8,358549754;-75,79200872
25;CUNDINAMARCA;2024;Total;IPM;7,4;0,64;4,771120716;-74,43111092
27;CHOCO;2024;Total;IPM;33,9;4,41;5,397581542;-76,942811
41;HUILA;2024;Total;IPM;10,9;0,64;2,570143029;-75,58434836
44;LA GUAJIRA;2024;Total;IPM;39,3;1,69;11,47687008;-72,42951072
47;MAGDALENA;2024;Total;IPM;19,2;1,96;10,24738355;-74,26175733
50;META;2024;Total;IPM;10,4;0,81;3,345562732;-72,95645988
52;NARINO;2024;Total;IPM;18,1;1;1,571094987;-77,87020496
54;NORTE DE SANTANDER;2024;Total;IPM;15,2;1,44;8,09513751;-72,88188297
63;QUINDIO;2024;Total;IPM;7,4;1;4,455241567;-75,68962853
66;RISARALDA;2024;Total;IPM;9,5;1,21;5,240757239;-76,00244469
68;SANTANDER;2024;Total;IPM;6,8;1;6,693633184;-73,48600894
70;SUCRE;2024;Total;IPM;21,8;1,21;9,064941448;-75,10981755
73;TOLIMA;2024;Total;IPM;12,6;1;4,03477252;-75,2558271
76;VALLE DEL CAUCA;2024;Total;IPM;6,2;0,64;3,569858693;-76,62850427
81;ARAUCA;2024;Total;IPM;17,7;2,56;6,569577215;-70,96732394
85;CASANARE;2024;Total;IPM;11,3;1,44;5,404064237;-71,60188073
86;PUTUMAYO;2024;Total;IPM;11,8;0,81;0,3673031;-75,51406183
88;ARCHIPIELAGO DE SAN ANDRES PROVIDENCIA Y SANTA CATALINA;2024;Total;IPM;6;1,21;12,54311512;-81,71762382
91;AMAZONAS;2024;Total;IPM;15,6;2,89;-1,54622768;-71,50212858
94;GUAINIA;2024;Total;IPM;49;4,41;2,727842865;-68,81661272
95;GUAVIARE;2024;Total;IPM;21,3;2,56;1,924531973;-72,12859569
97;VAUPES;2024;Total;IPM;37,4;5,29;0,64624561;-70,56140566
99;VICHADA;2024;Total;IPM;70,2;2,89;4,713557125;-69,41400011
