AÑO;CÓDIGO_MUNICIPIO;MUNICIPIO;CÓDIGO_DEPARTAMENTO;DEPARTAMENTO;CÓDIGO_ETC;ETC;POBLACIÓN_5_16;TASA_MATRICULACIÓN_5_16;COBERTURA_NETA;COBERTURA_NETA_TRANSICIÓN;COBERTURA_NETA_PRIMARIA;COBERTURA_NETA_SECUNDARIA;COBERTURA_NETA_MEDIA;COBERTURA_BRUTA;COBERTURA_BRUTA_TRANSICIÓN;COBERTURA_BRUTA_PRIMARIA;COBERTURA_BRUTA_SECUNDARIA;COBERTURA_BRUTA_MEDIA;DESERCIÓN;DESERCIÓN_TRANSICIÓN;DESERCIÓN_PRIMARIA;DESERCIÓN_SECUNDARIA;DESERCIÓN_MEDIA;APROBACIÓN;APROBACIÓN_TRANSICIÓN;APROBACIÓN_PRIMARIA;APROBACIÓN_SECUNDARIA;APROBACIÓN_MEDIA;REPROBACIÓN;REPROBACIÓN_TRANSICIÓN;REPROBACIÓN_PRIMARIA;REPROBACIÓN_SECUNDARIA;REPROBACIÓN_MEDIA;REPITENCIA;REPITENCIA_TRANSICIÓN;REPITENCIA_PRIMARIA;REPITENCIA_SECUNDARIA;REPITENCIA_MEDIA
2024;5004;Abriaquí;5;Antioquia;3758;Antioquia (ETC);499;56.11%;56.11%;39.53%;59.13%;51.52%;26.51%;61.92%;58.14%;67.79%;60.61%;51.81%;0%;0%;0%;0%;0%;99.68%;0%;100%;100%;97.67%;0.32%;0%;0%;0%;2.33%;8.41%;0%;8.51%;13%;2.33%
2024;15204;Cómbita;15;Boyacá;3769;Boyacá (ETC);1862;95.33%;95.33%;53.64%;89.15%;98.88%;62.1%;191.51%;63.58%;148.84%;258.59%;225.16%;3.24%;0%;1.71%;4.97%;3.68%;94.14%;0%;96.58%;90.63%;95.26%;2.62%;0%;1.71%;4.4%;1.05%;7.94%;1.69%;4.94%;14.53%;0%
2024;99773;Cumaribo;99;Vichada;3832;Vichada (ETC);25239;50.7%;50.7%;40.14%;57.71%;16.95%;3.85%;57.74%;61.32%;88.33%;38.03%;17.94%;5.5%;3.79%;5.08%;7.3%;6.15%;79.28%;0%;74.54%;84.61%;88.16%;15.22%;0%;20.39%;8.09%;5.7%;20.14%;0.63%;26.99%;11.05%;4.34%
2024;99624;Santa Rosalía;99;Vichada;3832;Vichada (ETC);1157;81.42%;81.42%;70.67%;82.64%;54.9%;22.45%;90.58%;117.33%;108.79%;85.29%;46.94%;6.3%;4.55%;6.15%;7.76%;3.26%;86.07%;0%;86.73%;81.32%;91.3%;7.63%;0%;7.12%;10.92%;5.43%;13.17%;0%;15%;16.67%;2.17%
2024;99524;La Primavera;99;Vichada;3832;Vichada (ETC);2645;90.96%;90.96%;64.13%;96.46%;59.01%;31.33%;99.13%;83.15%;128.68%;89.36%;59.01%;5.16%;2.72%;5.65%;5.42%;3.27%;86.01%;0%;83.36%;85.73%;93.82%;8.83%;0%;11%;8.84%;2.91%;13.15%;0.68%;17.38%;11.67%;3.64%
2024;99001;Puerto Carreño;99;Vichada;3832;Vichada (ETC);4600;148.35%;148.17%;114.02%;169.11%;81.25%;29.1%;158.74%;140.43%;235.6%;121.4%;61.04%;8.45%;5.06%;9.1%;8.87%;4.13%;81.47%;0%;80.04%;78.2%;94.04%;10.08%;0%;10.86%;12.92%;1.83%;12.72%;1.9%;13.86%;14.92%;4.36%
2024;97889;Yavaraté;97;Vaupés;3831;Vaupés (ETC);562;46.26%;46.26%;48.48%;51.56%;24.29%;15.96%;50.89%;90.91%;69.78%;35.71%;25.53%;8.39%;0%;1.91%;25.33%;8.33%;82.87%;0%;82.8%;73.33%;91.67%;8.74%;0%;15.29%;1.33%;0%;7.69%;0%;8.92%;8%;8.33%
2024;97777;Papunaua;97;Vaupés;3831;Vaupés (ETC);208;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%
2024;97666;Taraira;97;Vaupés;3831;Vaupés (ETC);802;19.95%;19.95%;14.29%;29.83%;0%;0%;20.82%;30.16%;50.17%;0%;0%;0%;0%;0%;0%;0%;100%;0%;100%;0%;0%;0%;0%;0%;0%;0%;34.73%;0%;39.19%;0%;0%
2024;97511;Pacoa;97;Vaupés;3831;Vaupés (ETC);1666;54.8%;54.8%;14.29%;54.88%;25.09%;5.25%;72.87%;38.1%;98.78%;69.53%;40%;7.83%;0%;4.32%;10.31%;22.13%;89.95%;0%;92.75%;88.92%;73.77%;2.22%;0%;2.93%;0.77%;4.1%;18.29%;23.21%;25.77%;10.31%;1.64%
2024;97161;Caruru;97;Vaupés;3831;Vaupés (ETC);1224;47.47%;47.47%;51.28%;48.99%;34.82%;12.75%;50.82%;66.67%;61.54%;49.78%;21.08%;3.54%;1.92%;1.64%;6.28%;4.65%;94.21%;0%;96.38%;90.58%;93.02%;2.25%;0%;1.97%;3.14%;2.33%;13.18%;1.92%;10.53%;19.73%;11.63%
2024;97001;Mitú;97;Vaupés;3831;Vaupés (ETC);10882;57.78%;57.78%;39.74%;54.15%;43.31%;17.26%;68.43%;59.07%;74.6%;70.81%;53.07%;5.06%;4.76%;4.09%;6.6%;4.55%;86.12%;0%;89.38%;79.87%;86.07%;8.81%;0%;6.53%;13.54%;9.38%;15.75%;6.21%;18.32%;15.76%;10.61%
2024;95200;Miraflores;95;Guaviare;3830;Guaviare (ETC);2049;27.87%;27.87%;14.37%;24.86%;20.97%;10.25%;34.5%;34.13%;34.68%;38.12%;25.44%;5.74%;5.26%;3.24%;9.44%;4.76%;81.87%;15.79%;81.55%;79.83%;93.65%;12.39%;15.79%;15.21%;10.73%;1.59%;14.5%;10.53%;16.18%;16.31%;3.17%
