"cod_depto","depto","cod_mpio","mpio","periodo","poblacion","pct_subsidiado","pct_cont","tasa_matriculacion_5_16","cobertura_neta","cobertura_neta_media","desercion","repitencia","reprobacion","Cobertura_acueducto","Cobertura_alcantarillado","Cobertura_aseo","infraestructura_basica","ICEE_rural","rmm42","mortalidad_infantil_1","Recaudo_ICA","Rec_ICA_PC"
5,"ANTIOQUIA",5001,"MEDELLIN",2018,2427133,0.2556,0.7444,0.9707,96.8753,48.4536,4.1352,3.8112,9.7624,97.26,95.29,94.67,95.74,100,29.4507,7.105,668761.4982,0.2755
5,"ANTIOQUIA",5002,"ABEJORRAL",2018,20368,0.8503,0.1497,0.7622,76.2192,30.9144,2.474,4.2615,5.6315,15.71,15.71,15.71,15.71,97.0681,0,12.8205,617.7313,0.0303
5,"ANTIOQUIA",5004,"ABRIAQUI",2018,2718,0.8323,0.1677,0.675,67.5048,37.3626,2.1563,2.965,0,39.04,39.04,39.04,39.04,85.1163,0,0,16.3703,0.006
5,"ANTIOQUIA",5021,"ALEJANDRIA",2018,4642,0.8611,0.1389,0.6611,66.1074,22.5352,2.7915,3.2841,0,39.36,32.56,33.4,35.1067,98.4174,0,0,411.1129,0.0886
5,"ANTIOQUIA",5030,"AMAGA",2018,30230,0.4612,0.5388,0.8131,81.3117,37.0488,3.6884,4.3757,13.8603,56.04,38.43,46.53,44.57835,98.9763,0,3.2154,3453.8443,0.1143
5,"ANTIOQUIA",5031,"AMALFI",2018,25935,0.8095,0.1905,0.7858,78.5763,25.2941,3.5398,3.9596,1.9174,41.79,35.1,39.93,38.94,85.1053,0,14.5985,1726.5523,0.0666
5,"ANTIOQUIA",5034,"ANDES",2018,43265,0.7933,0.2067,0.9332,93.3241,39.5983,3.871,3.8183,8.9732,15.94,11.11,12.76,13.27,97.2356,0,12.3457,2942.3818,0.068
5,"ANTIOQUIA",5036,"ANGELOPOLIS",2018,5758,0.6834,0.3166,1.0067,100.666,51.5789,0.6604,0.3774,3.5849,38.37,38.37,38.42,38.3867,98.2845,0,17.5439,147.8325,0.0257
5,"ANTIOQUIA",5038,"ANGOSTURA",2018,11444,0.9024,0.0976,1.0439,104.3916,64.5012,6.2414,1.0345,2.7586,51.58,10.49,10.49,24.1867,97.6002,0,25.4237,292.4163,0.0256
5,"ANTIOQUIA",5040,"ANORI",2018,18317,0.8981,0.1019,0.8233,82.3265,27.8846,5.2016,2.4447,8.2965,36,21.17,36,31.0567,74.2857,0,0,878.4237,0.048
5,"ANTIOQUIA",5042,"SANTAFE DE ANTIOQUIA",2018,26167,0.6733,0.3267,1.0551,105.4521,47.7974,4.6439,1.449,6.6341,66.6,54.89,61.7,61.0633,96.6073,0,3.0303,2355.8167,0.09
5,"ANTIOQUIA",5044,"ANZA",2018,7013,0.8363,0.1637,0.7538,75.3756,21.6216,1.7529,0,3.6728,40.02,26.59,26.59,31.0667,94.1091,0,11.7647,170.4895,0.0243
5,"ANTIOQUIA",5045,"APARTADO",2018,121014,0.4002,0.5998,1.02,101.9919,42.7316,4.7794,0.8852,8.4047,56.04,38.43,46.53,44.57835,89.9555,46.9263,10.7931,12371.0835,0.1022
5,"ANTIOQUIA",5051,"ARBOLETES",2018,29307,0.8863,0.1137,1.0956,109.5594,49.5812,3.3599,1.7865,4.5511,58.36,23.14,52.44,44.6467,98.483,0,16.632,543.2675,0.0185
5,"ANTIOQUIA",5055,"ARGELIA",2018,7687,0.9248,0.0752,0.8023,80.2273,28.3784,6.6364,1.6635,5.5403,26.45,26.45,26.45,26.45,85.2816,0,0,147.4453,0.0192
5,"ANTIOQUIA",5059,"ARMENIA",2018,5142,0.7261,0.2739,0.6567,65.6699,31.4685,4.1022,3.9944,4.9144,69.18,27.35,40.61,45.7133,98.9839,0,0,95.2256,0.0185
5,"ANTIOQUIA",5079,"BARBOSA",2018,51974,0.4433,0.5567,0.8659,86.5758,44.0424,2.7737,3.0693,6.7439,99.92,28.67,32.95,53.8467,100,255.7545,7.6726,9813.0746,0.1888
5,"ANTIOQUIA",5086,"BELMIRA",2018,5996,0.7422,0.2578,1.0521,105.2091,42.3237,3.0605,4.1888,5.988,47.31,19.56,20.92,29.2633,97.2662,0,20,334.6842,0.0558
5,"ANTIOQUIA",5088,"BELLO",2018,522259,0.2464,0.7536,0.8429,84.2012,37.5433,2.839,1.8288,1.3985,99.89,99.89,100,99.9267,100,79.0514,7.7075,49254.9868,0.0943
5,"ANTIOQUIA",5091,"BETANIA",2018,10311,0.8964,0.1036,0.6947,69.4732,23.9075,6.387,7.4515,4.1327,72.96,48.65,48.65,56.7533,98.2185,0,0,222.3708,0.0216
5,"ANTIOQUIA",5093,"BETULIA",2018,15597,0.928,0.072,0.974,97.4007,43.4276,4.7207,2.6481,9.6228,16.83,19.03,19.18,18.3467,97.2342,0,10.989,355.8922,0.0228
5,"ANTIOQUIA",5101,"CIUDAD BOLIVAR BOLIVAR",2018,26118,0.7334,0.2666,0.8963,89.6083,33.1454,7.7163,3.8915,4.692,56.04,38.43,46.53,44.57835,98.804,0,6.5359,1458.3976,0.0558
5,"ANTIOQUIA",5107,"BRICEÑO",2018,8029,0.8936,0.1064,0.8212,82.1159,19.4444,3.5105,3.0699,9.9005,31.48,31.48,31.48,31.48,88.8259,0,18.8679,7208.8793,0.8979
5,"ANTIOQUIA",5113,"BURITICA",2018,9346,0.7528,0.2472,0.7383,73.8344,26.513,5.25,2.1861,4.0625,94.81,92.39,94.06,93.7533,95.8574,0,0,711.5811,0.0761
5,"ANTIOQUIA",5120,"CACERES",2018,29014,0.9575,0.0425,0.9186,91.8625,22.4673,5.9532,4.8419,5.7018,38.36,48.45,45.14,43.9833,72.1905,0,25.0696,192.6171,0.0066
5,"ANTIOQUIA",5125,"CAICEDO",2018,8297,0.9251,0.0748,0.8383,83.8275,33.7705,2.6684,0,5.7179,69.87,18.38,17.68,35.31,96.623,0,32.6087,114.1715,0.0138
5,"ANTIOQUIA",5129,"CALDAS",2018,79632,0.2064,0.7936,0.96,95.9752,50.8528,2.6044,3.3958,5.3403,100,91.99,100,97.33,99.88,0,4.8603,8793.707,0.1104
5,"ANTIOQUIA",5134,"CAMPAMENTO",2018,9211,0.9228,0.0772,0.7058,70.5831,13.8817,4.2328,3.1746,9.0535,31.38,21.83,18.97,24.06,95.2263,0,0,222.6531,0.0242
5,"ANTIOQUIA",5138,"CAÑASGORDAS",2018,15531,0.8664,0.1336,0.8742,87.4231,38.0783,2.7328,3.3401,2.058,71.65,48.87,48.87,56.4633,95.1293,0,0,907.7431,0.0584
5,"ANTIOQUIA",5142,"CARACOLI",2018,4581,0.7929,0.2071,0.7843,78.4289,32.0611,2.2936,3.9755,4.2813,91.16,54.74,54.74,66.88,93.408,0,0,162.8379,0.0355
5,"ANTIOQUIA",5145,"CARAMANTA",2018,4758,0.8639,0.1361,0.9101,91.0099,31.5068,3.8511,2.5641,2.9525,76.52,50.51,50.51,59.18,97.4766,0,0,165.1503,0.0347
5,"ANTIOQUIA",5147,"CAREPA",2018,47923,0.5355,0.4645,0.9809,98.093,33.2207,4.7064,3.0034,5.1678,57.28,54.13,54.13,55.18,93.5301,106.2699,10.627,3943.3302,0.0823
5,"ANTIOQUIA",5148,"CARMEN DE VIBORAL",2018,59410,0.3802,0.6198,0.8564,85.5708,40.8195,2.4367,3.7995,6.9772,81.85,59.71,63.73,68.43,95.6641,0,4.2918,2862.0721,0.0482
5,"ANTIOQUIA",5150,"CAROLINA",2018,3957,0.6269,0.3731,0.9966,99.6616,30.7692,1.7991,4.9475,2.5487,81.14,75.88,75.88,77.6333,96.9027,0,0,251.2519,0.0635
5,"ANTIOQUIA",5154,"CAUCASIA",2018,90211,0.7529,0.2471,0.9819,98.1664,39.0853,4.5508,3.0555,7.6064,82.23,82.28,82.42,82.31,89.5185,44.8229,10.3093,5682.0208,0.063
5,"ANTIOQUIA",5172,"CHIGORODO",2018,57380,0.5669,0.4331,0.9859,98.5877,38.6613,5.08,3.4592,6.1483,71.41,71.11,82.57,75.03,86.4887,0,8.1301,2296.3817,0.04
5,"ANTIOQUIA",5190,"CISNEROS",2018,9778,0.7122,0.2877,0.8284,82.8392,49.0196,2.1448,1.6086,3.6193,66.07,49.88,70.99,62.3133,94.6237,0,0,562.5482,0.0575
5,"ANTIOQUIA",5197,"COCORNA",2018,15438,0.8337,0.1663,0.9277,92.768,34.5238,3.93,0.6935,6.539,35.78,30.61,30.53,32.3067,93.4502,0,15.873,1050.71,0.0681
5,"ANTIOQUIA",5206,"CONCEPCION",2018,4795,0.8334,0.1666,0.5952,59.5183,23.1293,2.2416,0.9899,5.5468,26.15,26.15,26.15,26.15,98.2353,0,68.1818,94.2699,0.0197
5,"ANTIOQUIA",5209,"CONCORDIA",2018,21367,0.8238,0.1762,0.8722,87.218,37.0757,2.245,2.8497,4.0209,36.95,34.9,35.18,35.6767,97.4677,0,10,654.165,0.0306
5,"ANTIOQUIA",5212,"COPACABANA",2018,77875,0.289,0.711,1.0302,102.9519,50.7706,3.079,2.6893,7.2981,82.47,82.47,82.47,82.47,100,171.5266,6.8611,10470.6139,0.1345
5,"ANTIOQUIA",5234,"DABEIBA",2018,23048,0.9223,0.0777,0.8484,84.8373,28.2418,5.1116,4.2657,6.5155,40.93,40.93,40.93,40.93,86.1667,0,10.4895,578.3191,0.0251
5,"ANTIOQUIA",5237,"DON MATIAS",2018,18914,0.35,0.65,0.9912,99.1188,42.7068,4.4994,3.9631,0.0298,65.01,57.85,65.01,62.6233,99.6417,0,4.2017,1943.108,0.1027
5,"ANTIOQUIA",5240,"EBEJICO",2018,12153,0.8152,0.1847,0.8305,83.0475,34.7107,2.7427,2.0845,9.1059,90.15,20.22,20.22,43.53,96.7611,0,10,301.3948,0.0248
5,"ANTIOQUIA",5250,"EL BAGRE",2018,51868,0.8415,0.1585,0.931,93.0998,32.7061,5.5187,2.0024,3.7494,66.45,33.27,71.87,57.1967,82.4352,105.3741,18.9673,1162.0803,0.0224
5,"ANTIOQUIA",5264,"ENTRERRIOS",2018,11154,0.2921,0.7079,0.8396,83.9577,39.6419,5.2276,5.9619,3.5055,39.42,28.26,27.22,31.6333,99.6997,0,8.4746,1202.8122,0.1078
5,"ANTIOQUIA",5266,"ENVIGADO",2018,228836,0.0986,0.9014,0.9909,96.959,62.9824,2.2531,3.2899,2.5056,92.98,93.05,93.88,93.3033,100,0,1.8462,68907.8956,0.3011
5,"ANTIOQUIA",5282,"FREDONIA",2018,24415,0.5566,0.4434,0.7374,73.7432,37.0068,3.0686,1.6767,3.3217,39.47,39.47,39.47,39.47,98.6003,0,0,868.036,0.0356
5,"ANTIOQUIA",5284,"FRONTINO",2018,20742,0.8853,0.1147,0.9185,91.851,36.4954,3.4667,4.6555,1.4974,64.74,64.74,100,76.4933,88.14,0,17.2414,386.0229,0.0186
5,"ANTIOQUIA",5306,"GIRALDO",2018,5545,0.8178,0.1822,0.932,93.2023,35.2041,3.4364,2.1478,5.0687,83.89,26.32,42.15,50.7867,95.4315,0,0,436.3174,0.0787
5,"ANTIOQUIA",5308,"GIRARDOTA",2018,51660,0.3065,0.6935,0.8939,89.3145,46.623,4.3737,4.1254,10.5958,96.21,51.82,74.79,74.2733,100,0,8.9286,19092.9475,0.3696
5,"ANTIOQUIA",5310,"GOMEZ PLATA",2018,9761,0.7149,0.2851,0.7877,78.7725,25.8065,4.1667,5.3279,9.0164,46.8,43.35,43.06,44.4033,97.0775,0,17.5439,677.421,0.0694
5,"ANTIOQUIA",5313,"GRANADA",2018,10124,0.8192,0.1808,0.813,81.3034,46.2644,3.7414,2.1813,4.9462,48.89,41.21,41.2,43.7667,98.1358,0,8.1301,371.0898,0.0367
5,"ANTIOQUIA",5315,"GUADALUPE",2018,6555,0.7865,0.2135,0.7331,73.3086,26.2712,2.266,2.5066,7.1618,31.95,29.64,29.64,30.41,98.4615,0,14.9254,376.9399,0.0575
5,"ANTIOQUIA",5318,"GUARNE",2018,55110,0.318,0.682,0.7349,73.409,36.8963,2.4096,4.2638,5.818,64.14,26.23,32.11,40.8267,96.3738,0,13.6452,12854.0763,0.2332
5,"ANTIOQUIA",5321,"GUATAPE",2018,8367,0.5385,0.4615,0.8957,89.5701,59.3496,2.4257,0.7825,4.0689,98.4,66.33,76.55,80.4267,98.4848,0,13.3333,810.0748,0.0968
5,"ANTIOQUIA",5347,"HELICONIA",2018,5460,0.8166,0.1834,0.9734,97.3422,38.0952,3.7353,4.6958,3.2017,95.84,95.28,93.81,94.9767,98.2426,0,0,95.1452,0.0174
5,"ANTIOQUIA",5353,"HISPANIA",2018,5471,0.7369,0.2631,0.9199,91.9881,23.8636,0.4469,7.933,5.0279,74.27,55.74,55.69,61.9,98.1191,0,0,257.3145,0.047
5,"ANTIOQUIA",5360,"ITAGUI",2018,276746,0.1645,0.8355,0.8804,87.6867,48.832,2.8833,2.6547,7.4236,98.91,96.8,98.91,98.2067,100,39.8248,6.372,109741.0607,0.3965
5,"ANTIOQUIA",5361,"ITUANGO",2018,27065,0.8973,0.1027,0.8914,89.1445,36.2625,5.9353,3.5165,4.5364,100,97.42,99.56,98.9933,86.4691,0,19.7628,4346.3254,0.1606
5,"ANTIOQUIA",5364,"JARDIN",2018,14520,0.7552,0.2448,0.9309,93.094,41.978,2.9529,0.9171,6.5842,69.9,53.28,54.45,59.21,97.3464,0,15.3846,723.2019,0.0498
5,"ANTIOQUIA",5368,"JERICO",2018,13647,0.6647,0.3352,0.8419,84.1894,51.1166,2.7095,1.331,4.3111,36.33,36.33,37.98,36.88,98.3108,0,10.8696,974.1958,0.0714
5,"ANTIOQUIA",5376,"LA CEJA",2018,64878,0.184,0.816,0.8822,88.1796,48.3808,1.925,1.4806,6.4244,99.65,99.65,99.57,99.6233,99.3149,0,16.1054,6266.4274,0.0966
5,"ANTIOQUIA",5380,"LA ESTRELLA",2018,71567,0.2584,0.7416,1.1839,117.5898,62.3383,4.4273,0,6.5403,87.46,82.86,99.94,90.0867,100,0,4.878,29163.9393,0.4075
